ID,MOLECULE,GROUP,CHARGE,SMILES,SMILES_Superclass,SMILES_Class,SMILES_Parent_Level,SITE,GAS-HO,WAT-HO,BZN-HO,SMILES-HO,GAS-HOO,WAT-HOO,BZN-HOO,SMILES-HOO,GAS-CH3O,WAT-CH3O,BZN-CH3O,SMILES-CH3O,GAS-CH3OO,WAT-CH3OO,BZN-CH3OO,SMILES-CH3OO,GAS-CH2CHOO,WAT-CH2CHOO,BZN-CH2CHOO,SMILES-CH2CHOO,GAS-HS,WAT-HS,BZN-HS,SMILES-HS,GAS-HSS,WAT-HSS,BZN-HSS,SMILES-HSS,GAS-CH3S,WAT-CH3S,BZN-CH3S,SMILES-CH3S,GAS-CH3SS,WAT-CH3SS,BZN-CH3SS,SMILES-CH3SS,GAS-CH3SO,WAT-CH3SO,BZN-CH3SO,SMILES-CH3SO
1,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,C1,-0.53,-2.04,-0.43,[OH-],31.46,30.83,32.01,O[O-],14.38,13.46,15.04,C[O-],33.06,32.11,33.89,CO[O-],30.17,28.55,30.54,C=CO[O-],25.48,26.81,26.3,[SH-],43.57,45.15,44.47,[S-]S,32.47,34.22,33.45,C[S-],46.1,48.11,47.19,C[S-]S,42.97,44.64,43.81,C[S](=O)[O-]
2,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,C10,-3.12,-5.15,-3.3,[OH-],28.86,27.72,29.14,O[O-],11.78,10.35,12.17,C[O-],30.47,29,31.01,CO[O-],27.57,25.45,27.67,C=CO[O-],22.89,23.7,23.43,[SH-],40.97,42.04,41.6,[S-]S,29.87,31.11,30.58,C[S-],43.51,45,44.31,C[S-]S,40.37,41.54,40.94,C[S](=O)[O-]
3,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,C12,-7.49,-10.52,-8.03,[OH-],24.5,22.35,24.41,O[O-],7.42,4.98,7.44,C[O-],26.1,23.63,26.29,CO[O-],23.21,20.07,22.94,C=CO[O-],18.52,18.33,18.7,[SH-],36.61,36.67,36.87,[S-]S,25.51,25.74,25.85,C[S-],39.14,39.63,39.59,C[S-]S,36.01,36.16,36.21,C[S](=O)[O-]
4,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,C13,-2.46,-6.18,-3.24,[OH-],29.53,26.69,29.19,O[O-],12.44,9.32,12.22,C[O-],31.13,27.97,31.07,CO[O-],28.24,24.41,27.72,C=CO[O-],23.55,22.67,23.49,[SH-],41.64,41.01,41.65,[S-]S,30.53,30.08,30.63,C[S-],44.17,43.97,44.37,C[S-]S,41.04,40.5,40.99,C[S](=O)[O-]
5,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,C15,-4.25,-6.38,-4.53,[OH-],27.74,26.49,27.91,O[O-],10.65,9.12,10.94,C[O-],29.34,27.77,29.78,CO[O-],26.45,24.22,26.44,C=CO[O-],21.76,22.47,22.2,[SH-],39.85,40.81,40.37,[S-]S,28.74,29.88,29.35,C[S-],42.38,43.77,43.08,C[S-]S,39.25,40.31,39.71,C[S](=O)[O-]
6,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,C16,-6.17,-8.32,-6.48,[OH-],25.82,24.55,25.95,O[O-],8.73,7.18,8.99,C[O-],27.42,25.83,27.83,CO[O-],24.53,22.27,24.48,C=CO[O-],19.84,20.53,20.25,[SH-],37.93,38.87,38.41,[S-]S,26.82,27.94,27.4,C[S-],40.46,41.83,41.13,C[S-]S,37.33,38.36,37.75,C[S](=O)[O-]
7,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,O18,-28.69,-32.6,-30.62,[OH-],3.3,0.26,1.81,O[O-],-13.79,-17.11,-15.15,C[O-],4.9,1.54,3.69,CO[O-],2.01,-2.01,0.34,C=CO[O-],-2.68,-3.75,-3.89,[SH-],15.41,14.58,14.27,[S-]S,4.3,3.65,3.26,C[S-],17.94,17.54,16.99,C[S-]S,14.81,14.08,13.61,C[S](=O)[O-]
8,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,O19,-28.92,-37.5,-32.17,[OH-],3.08,-4.63,0.26,O[O-],-14.01,-22,-16.7,C[O-],4.67,-3.35,2.14,CO[O-],1.78,-6.91,-1.21,C=CO[O-],-2.91,-8.65,-5.44,[SH-],15.19,9.69,12.72,[S-]S,4.08,-1.24,1.71,C[S-],17.71,12.65,15.44,C[S-]S,14.58,9.18,12.06,C[S](=O)[O-]
9,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,O20,-27.64,-36.85,-31.01,[OH-],4.35,-3.98,1.42,O[O-],-12.74,-21.35,-15.54,C[O-],5.95,-2.71,3.3,CO[O-],3.06,-6.26,-0.04,C=CO[O-],-1.63,-8,-4.28,[SH-],16.46,10.34,13.88,[S-]S,5.35,-0.59,2.87,C[S-],18.99,13.29,16.6,C[S-]S,15.86,9.83,13.23,C[S](=O)[O-]
10,ARN,Anthocyanidins,1,C1=C(C(=C(C2=CC(=C(O[C]12)c1ccc(cc1)O)O)O)O)O,Phenylpropanoids and polyketides,Flavonoids,7-hydroxyflavonoids,O22,-29.29,-33.04,-30.89,[OH-],2.7,-0.17,1.54,O[O-],-14.39,-17.54,-15.42,C[O-],4.3,1.11,3.42,CO[O-],1.41,-2.45,0.07,C=CO[O-],-3.28,-4.19,-4.16,[SH-],14.81,14.15,14,[S-]S,3.7,3.22,2.99,C[S-],17.34,17.11,16.72,C[S-]S,14.21,13.64,13.34,C[S](=O)[O-]
