Fold,Analysis,Model,Train_n,Test_n,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
ARN,LOMO,RandomForest_CategoricalOnly_LOMO,5880,330,0.977585492239226,1.94574169189549,3.1957270234630157,3.195998149064112,0.7933366737582978,3.8167190228929297,8.66345932922256,8.194625750371143
CPN,LOMO,RandomForest_CategoricalOnly_LOMO,5880,330,0.9773847198262717,1.9832919922124312,3.2151223368873554,3.2153947965214353,0.9976915548898038,0.6167247272002282,0.8668925373757733,0.8417611078832409
CYN,LOMO,RandomForest_CategoricalOnly_LOMO,5880,330,0.977413623015931,1.9624076320094188,3.2054366358553312,3.2057081102924174,0.9940363380589835,1.108343244691832,1.4897716856661471,1.3835158780900172
DEL,LOMO,RandomForest_CategoricalOnly_LOMO,5880,330,0.977499909917872,1.943271785911985,3.2018741854563504,3.2021450406245076,0.9922121284378546,1.346044667227125,1.7395527020766297,1.7289414446454558
EUR,LOMO,RandomForest_CategoricalOnly_LOMO,5940,270,0.9777134875355566,1.9648785294031492,3.1952530767356637,3.1955176606327678,0.9943947687761655,0.9381774911443985,1.3766270060293302,1.3687670862123114
HIR,LOMO,RandomForest_CategoricalOnly_LOMO,5880,330,0.9776200042832425,1.9526993974933087,3.2018987332120465,3.202170050506234,0.9919394968475569,1.2028136740982929,1.6125900896182492,1.2240692083009457
MAL,LOMO,RandomForest_CategoricalOnly_LOMO,5880,330,0.9774768432020209,1.9539928872036925,3.206192482266668,3.2064651309122554,0.994330069564185,1.1357236352593174,1.4189264268305986,1.3985287739951586
P1,LOMO,RandomForest_CategoricalOnly_LOMO,6180,30,0.9809281044411916,1.8163922897877558,2.9478376740415495,2.948074979555368,-0.570747987645801,17.429107820306236,17.461819135618928,1.0865929573865367
P10,LOMO,RandomForest_CategoricalOnly_LOMO,6180,30,0.9783061142000037,1.9136100156942657,3.14179402061935,3.1420449887911532,0.7534756404797223,6.874783197496949,6.923678022117143,0.83542680070701
P11,LOMO,RandomForest_CategoricalOnly_LOMO,6180,30,0.9783406051427687,1.9131678503526928,3.1415863388678402,3.1418378553737965,0.008214126529038857,13.86591163789914,13.893237338866516,0.8858299463456156
P12,LOMO,RandomForest_CategoricalOnly_LOMO,6180,30,0.9783134336079409,1.9134386365550815,3.141804740985925,3.142056288091114,0.6523564295887441,8.17477159914469,8.22821852434119,0.9523235031312041
P13,LOMO,RandomForest_CategoricalOnly_LOMO,6120,90,0.978099808241008,1.9279877832675731,3.1573032503295915,3.15755083149439,0.4669395914161718,9.121996131287439,10.289012525713419,4.786177288343866
P14,LOMO,RandomForest_CategoricalOnly_LOMO,6180,30,0.9783418471287892,1.912759946281059,3.1415674898200283,3.1418189955674314,-0.07265082390627531,14.41745890912174,14.440794959496358,0.8346614010988328
P15,LOMO,RandomForest_CategoricalOnly_LOMO,6150,60,0.9793607683976634,1.857684139588772,3.0645885060807565,3.064812084117683,0.6403239287296909,7.383949773268393,8.543441458097945,4.33366925135409
P16,LOMO,RandomForest_CategoricalOnly_LOMO,6120,90,0.979737298203026,1.8101708310107103,3.034479857999849,3.034693857348387,0.5557760761443938,9.384405116547025,9.759369522740803,2.6942324334669543
P16anA,LOMO,RandomForest_CategoricalOnly_LOMO,6120,90,0.9802088768116293,1.8094033036646686,2.987837469711922,2.988055198726881,0.5391080985321384,9.08068973321432,9.654863147323288,9.674095003020579
P16anB,LOMO,RandomForest_CategoricalOnly_LOMO,6150,60,0.9785266704881234,1.8729446580631344,3.104653510102446,3.104898036067137,0.8269881591989553,5.8581543548257295,6.0884800776369,1.6727984907519924
P16anC,LOMO,RandomForest_CategoricalOnly_LOMO,6150,60,0.9813677313041425,1.7991801149640476,2.8784187913530377,2.878649437216241,0.14128210174788514,13.827995433913308,14.78291774263442,5.271078678899997
P17,LOMO,RandomForest_CategoricalOnly_LOMO,6150,60,0.9784049799414712,1.8926594528521425,3.1323243375977303,3.1325508870024437,0.9188126849201206,3.945138628026292,3.9752493883228612,0.4924744560349291
P17anA,LOMO,RandomForest_CategoricalOnly_LOMO,6120,90,0.9798303445120495,1.781978089174517,2.999046102541188,2.9992910064396003,0.48544766180304466,9.968052453222704,10.462113843943149,3.1948660952201995
P17anB,LOMO,RandomForest_CategoricalOnly_LOMO,6120,90,0.9791670132263002,1.8464301382669155,3.06651750394849,3.0667680667629287,0.722470750596459,6.057718735569996,7.467307384934066,7.298481690203552
P18,LOMO,RandomForest_CategoricalOnly_LOMO,6180,30,0.9785273546839368,1.8891402274837497,3.1230072893676977,3.1232507915720644,0.7576581193611357,6.635661488015077,6.856791364925293,1.7568342723796804
P18an,LOMO,RandomForest_CategoricalOnly_LOMO,6120,90,0.9777651763590194,1.8933981896175105,3.134901498439119,3.135150669691151,0.2659841033645993,12.260359013095965,13.301094550645706,5.186677164056818
P19,LOMO,RandomForest_CategoricalOnly_LOMO,6180,30,0.9786908132437347,1.8744550782393483,3.1105408317143017,3.110786593835926,0.6240851681492451,8.475650709435635,8.549567395353593,1.1409831057423176
P19an,LOMO,RandomForest_CategoricalOnly_LOMO,6120,90,0.9780057996506528,1.8830131279510247,3.123387486433091,3.123636520344445,0.37538150363374123,10.44303391609008,11.826662162213568,5.582042080714676
