MOLECULE,Model,Feature,Importance
ARN,RandomForest,CHARGE,0.0006026129124622377
ARN,RandomForest,SMILES_BalabanJ,0.030109805243821283
ARN,RandomForest,SMILES_BertzCT,0.002155671534079099
ARN,RandomForest,SMILES_Chi0,0.0035535000751093326
ARN,RandomForest,SMILES_Chi0n,0.00020622514702292783
ARN,RandomForest,SMILES_Chi0v,5.382405365904188e-05
ARN,RandomForest,SMILES_Chi1,5.002016142522577e-05
ARN,RandomForest,SMILES_Chi1n,0.00013218746180740582
ARN,RandomForest,SMILES_Chi1v,0.00011285163895455278
ARN,RandomForest,SMILES_Chi2n,0.00030335850584059634
ARN,RandomForest,SMILES_Chi2v,0.0002708436732336946
ARN,RandomForest,SMILES_Chi3n,0.0006190206219455926
ARN,RandomForest,SMILES_Chi3v,0.0006633310605214919
ARN,RandomForest,SMILES_Chi4n,0.00016796965223462372
ARN,RandomForest,SMILES_Chi4v,0.00018990659595931008
ARN,RandomForest,SMILES_EState_VSA1,0.0002316260727744142
ARN,RandomForest,SMILES_EState_VSA10,0.0029385299853564293
ARN,RandomForest,SMILES_EState_VSA11,0.0
ARN,RandomForest,SMILES_EState_VSA2,0.0031037476010716742
ARN,RandomForest,SMILES_EState_VSA3,2.6288504890312917e-05
ARN,RandomForest,SMILES_EState_VSA4,0.0001170284803639528
ARN,RandomForest,SMILES_EState_VSA5,0.00026529313963580714
ARN,RandomForest,SMILES_EState_VSA6,0.00012977558299885955
ARN,RandomForest,SMILES_EState_VSA7,4.8403335327968854e-05
ARN,RandomForest,SMILES_EState_VSA8,9.208669627577743e-06
ARN,RandomForest,SMILES_EState_VSA9,5.63411472301315e-05
ARN,RandomForest,SMILES_HallKierAlpha,0.04471560657426769
ARN,RandomForest,SMILES_HeavyAtomCount,0.002276779091835646
ARN,RandomForest,SMILES_HeavyAtomMolWt,0.0030085309688634102
ARN,RandomForest,SMILES_Kappa1,0.00010381058844108039
ARN,RandomForest,SMILES_Kappa2,9.390301903062827e-05
ARN,RandomForest,SMILES_Kappa3,0.0008393107222627502
ARN,RandomForest,SMILES_MaxAbsEStateIndex,0.003871729548635021
ARN,RandomForest,SMILES_MaxAbsPartialCharge,0.0006285687548045648
ARN,RandomForest,SMILES_MaxEStateIndex,0.00414273216709208
ARN,RandomForest,SMILES_MaxPartialCharge,0.0016053540054907047
ARN,RandomForest,SMILES_MinAbsEStateIndex,0.05089955539079503
