Model,Feature,Importance,Importance_std,Type,Source
GradientBoosting,SMILES_RADICAL_MaxAbsPartialCharge,0.1322763912387692,0.05797782806594296,Electronic,Radical
GradientBoosting,SMILES_RADICAL_HeavyAtomMolWt,0.05686314815259688,0.03384158344126099,Structural,Radical
GradientBoosting,GROUP_Phenols,0.051902560299407624,0.030424403021233084,Experimental,Molecule
GradientBoosting,SMILES_MinAbsEStateIndex,0.05126706845935176,0.004732111569422023,Electronic,Molecule
GradientBoosting,SMILES_RADICAL_MolWt,0.049673518697318966,0.03479016304255577,Structural,Radical
GradientBoosting,SMILES_RADICAL_MinPartialCharge,0.04836712411131283,0.03618248657778951,Electronic,Radical
GradientBoosting,SMILES_NumRotatableBonds,0.04332271046735328,0.0034234625927304463,Structural,Molecule
GradientBoosting,SMILES_RADICAL_MinAbsEStateIndex,0.041771062633812535,0.01579685773806905,Electronic,Radical
GradientBoosting,SMILES_HallKierAlpha,0.0407940492383414,0.03385040943569466,Electronic,Molecule
GradientBoosting,SMILES_BalabanJ,0.03778321308218142,0.025700460071317398,Structural,Molecule
GradientBoosting,SMILES_PEOE_VSA9,0.03719682218596589,0.013107567420246376,VSA,Molecule
GradientBoosting,SITE_O22,0.03672043200295965,0.001226274887024694,Experimental,Site
GradientBoosting,SMILES_RADICAL_Kappa3,0.027885195234196275,0.031048167593427833,Structural,Radical
GradientBoosting,SITE_O25,0.02780924550810433,0.001056882791744027,Experimental,Site
GradientBoosting,SITE_C3,0.022913833116407344,0.0009321869389428829,Experimental,Site
GradientBoosting,SMILES_RADICAL_Chi0v,0.02003194042108499,0.008485967015114209,Structural,Radical
GradientBoosting,SMILES_RADICAL_MolMR,0.019622228475839595,0.009862736468684711,Electronic,Radical
GradientBoosting,SMILES_RADICAL_Chi1v,0.01846546919898684,0.009194836551482923,Structural,Radical
GradientBoosting,SITE_C10,0.01833534845370141,0.0008028732874571484,Experimental,Site
GradientBoosting,SITE_O20,0.017798759663325846,0.0009683735034332712,Experimental,Site
GradientBoosting,SITE_O18,0.0159943781043345,0.0008572843462361946,Experimental,Site
GradientBoosting,SMILES_VSA_EState6,0.011822069168068277,0.002004883862627161,VSA,Molecule
GradientBoosting,SITE_C16,0.011690239920014077,0.000698652047552276,Experimental,Site
GradientBoosting,CHARGE,0.011383963286303712,0.01397759754886271,Electronic,Molecule
GradientBoosting,SITE_O26,0.010437725593808504,0.000556828245857078,Experimental,Site
GradientBoosting,SMILES_EState_VSA10,0.008710200470488707,0.014874349339297528,VSA,Molecule
GradientBoosting,SMILES_NumAliphaticRings,0.008427514312899329,0.015636020138197832,Structural,Molecule
GradientBoosting,SMILES_Chi1,0.0077778852954438525,0.013545333096178528,Structural,Molecule
GradientBoosting,SMILES_EState_VSA2,0.0075392774262054854,0.010416453325252008,VSA,Molecule
