Fold,Analysis,Model,Train_n,Test_n,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
ARN,LOMO,RandomForestOpt1,5880,330,0.999665136276046,0.25133747165532805,0.3906061919442444,0.39063542582289906,0.7884736843850908,6.2736898989898995,8.764796473533082,8.625313879958012
CPN,LOMO,RandomForestOpt1,5880,330,0.9996396952905476,0.2587745464852598,0.40581816783697533,0.4058263093683775,0.997681942950141,0.6577307070707067,0.8686954528901669,0.8689255476597065
CYN,LOMO,RandomForestOpt1,5880,330,0.999640625974843,0.25683531746031696,0.4043311974517957,0.4043313240358446,0.9959850854470766,0.8148509090909137,1.2223662796792856,1.1477153460907332
DEL,LOMO,RandomForestOpt1,5880,330,0.9996457217675868,0.2532314002267569,0.401776349882405,0.40180755329534007,0.9926726036422759,1.2116856565656537,1.6873417122360952,1.6842447930053386
EUR,LOMO,RandomForestOpt1,5940,270,0.9996388710032267,0.2566746969696954,0.4067385968590832,0.4067464778797686,0.9980348126961179,0.5926616049382669,0.815119895690071,0.7997811988045529
HIR,LOMO,RandomForestOpt1,5880,330,0.9996524720930509,0.24871950680272106,0.39899957689908044,0.3990135879808476,0.9875310042073424,1.4314419191919194,2.0056661716021162,1.7121768211345516
MAL,LOMO,RandomForestOpt1,5880,330,0.9996414401303887,0.25633516439909193,0.40453472022221654,0.4045577371777652,0.9975293563959526,0.7517430303030298,0.936647251357066,0.9341110190743691
P1,LOMO,RandomForestOpt1,6180,30,0.9996512401729224,0.2508818608414233,0.3986298919179184,0.3986584762695757,0.8952375773033328,4.496631111111109,4.509610117967411,0.34773959737294563
P10,LOMO,RandomForestOpt1,6180,30,0.9996499588296941,0.25060104638619074,0.39908793403871307,0.3991181123877622,0.9058901625390149,4.051761111111105,4.277839195742355,1.395734913245483
P11,LOMO,RandomForestOpt1,6180,30,0.9996473132123974,0.25156478964401185,0.40088558072805425,0.4009173882489085,0.9386618457632268,3.3663877777777804,3.4550938411386305,0.791184259045375
P12,LOMO,RandomForestOpt1,6180,30,0.9996552266797006,0.24817220604099113,0.3961417522882027,0.39616919985324084,0.885740322008473,4.673114444444439,4.71721004008293,0.6544847550058881
P13,LOMO,RandomForestOpt1,6120,90,0.9996405411163612,0.25150728758169877,0.40449853078567477,0.404525582902742,0.6632765489678725,7.323613703703699,8.17753033615004,3.6586078653166907
P14,LOMO,RandomForestOpt1,6180,30,0.9996411592216936,0.2535875728155329,0.40437712628897576,0.40440959065471765,0.62086494762019,8.524724444444448,8.585367409243693,1.0360435508728503
P15,LOMO,RandomForestOpt1,6150,60,0.9996446892894393,0.2502549051490511,0.40209581752555396,0.4021261307856662,0.9683753653873726,2.3343755555555616,2.533318724855547,2.430250098053395
P16,LOMO,RandomForestOpt1,6120,90,0.9996385825126642,0.253057249455337,0.40526599422789317,0.4052969268724178,0.9224243042241287,2.8524551851851867,4.078341887900637,3.6961315548190643
P16anA,LOMO,RandomForestOpt1,6120,90,0.9996527163765628,0.2480497331154676,0.3957891645085466,0.3958174446370587,0.08263829802050149,11.671664444444453,13.621247568373228,7.601483911724051
P16anB,LOMO,RandomForestOpt1,6150,60,0.9996555061865914,0.24611678048780397,0.39323680400380157,0.39326843689506247,-0.9057883213214117,19.840123333333327,20.20730080801655,3.8670067341316146
P16anC,LOMO,RandomForestOpt1,6150,60,0.9996892879033579,0.23689670460704526,0.37170653176264307,0.37173589228517323,0.4572831063400661,9.955298888888894,11.752264928478612,8.174323129712512
P17,LOMO,RandomForestOpt1,6150,60,0.9996470432224199,0.24906829268292596,0.40045219810927485,0.40048466624805407,0.981527370791302,1.5689366666666686,1.8962022007745505,1.073890687653203
P17anA,LOMO,RandomForestOpt1,6120,90,0.9996516466740019,0.24759126361655706,0.3941339833377892,0.3941635374324982,0.6314291912488427,6.732359259259271,8.854522203188921,6.620117947007406
P17anB,LOMO,RandomForestOpt1,6120,90,0.9996448444549503,0.2496456590413934,0.4003860879400517,0.4004186908996834,0.7261104595321672,6.278695555555549,7.41818008560517,5.294798341255268
P18,LOMO,RandomForestOpt1,6180,30,0.9996521388378755,0.2498640938511319,0.3974963951188804,0.3975285221645113,0.9817705541939246,1.76941333333334,1.8805870068008577,0.647901609684261
P18an,LOMO,RandomForestOpt1,6120,90,0.9996872844564956,0.23806876361655668,0.3717763754581025,0.37180659858491355,0.3640071400945103,10.27868592592593,12.381143804168754,8.351121106625309
P19,LOMO,RandomForestOpt1,6180,30,0.9996492063103298,0.25013819309600765,0.39909690057338676,0.39912915958270084,0.9900588534646814,1.0796188888888947,1.3903292103751013,1.2451851293118181
P19an,LOMO,RandomForestOpt1,6120,90,0.9996626301117353,0.24475317538126323,0.38683426518512193,0.386865775428116,0.32845258086981455,10.866548148148146,12.262897916385986,5.714865003420354
P2,LOMO,RandomForestOpt1,6180,30,0.9996520182316042,0.2502122276159646,0.3979316055536282,0.3979616268468104,0.9237060448990662,3.834875555555544,3.848759866435082,0.33220576748290914
P20,LOMO,RandomForestOpt1,6180,30,0.9996479617677014,0.24979900755123954,0.4005184974088329,0.4005475162467709,0.7531884073128086,6.52587111111111,7.121824952943613,2.900665245018408
P21,LOMO,RandomForestOpt1,6180,30,0.9996507043740224,0.25034605177993463,0.3989762437226243,0.39900686435239013,0.997487869502041,0.6305477777777716,0.6987702536387478,0.6612951210620536
P22,LOMO,RandomForestOpt1,6180,30,0.9996503595357841,0.25039736785328914,0.39917450621961886,0.3992049608759674,0.9971150085753521,0.5575855555555586,0.7482746388513765,0.6195475564380749
P23,LOMO,RandomForestOpt1,6180,30,0.9996486284641203,0.2508717475728145,0.4000868616080192,0.4001188833176352,0.8476654195379212,5.149067777777788,5.436553547419822,1.7743037956104009
P24,LOMO,RandomForestOpt1,6180,30,0.9996506269167518,0.24995930420711887,0.3989994301398015,0.3990316751427373,0.9625354355255703,2.669087777777763,2.697242026129366,0.3953413828611474
P25,LOMO,RandomForestOpt1,6180,30,0.9996486042828506,0.2507227993527498,0.4000769636571864,0.40010880777634056,0.9610145383060089,2.7374644444444534,2.7501981855051105,0.2688644222331804
P26,LOMO,RandomForestOpt1,6180,30,0.9996439841700141,0.2507818122977336,0.40278226695292263,0.40281375141537706,0.9485780591889871,2.72123,3.239878885636398,2.163195622483146
P26an,LOMO,RandomForestOpt1,6180,30,0.9996609601482603,0.24781178532901801,0.3928968426077493,0.3929279002601818,0.059157523101844856,13.33870444444445,14.619788173998712,6.087055513449092
P27,LOMO,RandomForestOpt1,6180,30,0.9996510262710745,0.24993942286947038,0.3987916162921656,0.3988236138805518,0.9965970031146931,0.7003055555555509,0.8127344152555209,0.4526199361963597
P27an,LOMO,RandomForestOpt1,6180,30,0.9996503925660879,0.24977490291262072,0.3990159171827948,0.3990452494870417,0.9838461800725267,1.4601733333333347,1.7854520254504727,1.0981948077016395
P28,LOMO,RandomForestOpt1,6180,30,0.9996510424604345,0.2496661003236236,0.39879628973409464,0.3988283717297116,0.9943555857186023,0.8728333333333425,1.0466540097607073,0.9864023757919947
