Fold,Analysis,Model,Train_n,Test_n,Unique_Molecules_Train,Unique_Molecules_Test,Overlapping_Molecules_Train_Test,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
1,RandomRowSplit,RandomForestOpt1,4968,1242,71,70,70,0.9994130750900357,0.30862175254965035,0.5165752155753807,0.5166132017353289,0.9955421775482665,0.8664277509393424,1.4221910614811721,1.4224854965231992
2,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994732429203496,0.30566882045088495,0.4908905608029224,0.49093791990621244,0.9967086277350332,0.7966454106280204,1.206867787956827,1.2072865122587861
3,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994264890008369,0.3104023953301127,0.5082432776258612,0.5082823338148718,0.9914655377144492,0.8889000536768673,2.0043610713506785,1.9994357651762216
4,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994354816820537,0.30981735775630526,0.5089086500399451,0.5089251842463259,0.9954484414538363,0.862902254428341,1.4100386557256313,1.4104082457998859
5,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994209663071214,0.31181843800321934,0.5150546700002852,0.5150117411531097,0.9963512676001742,0.8349238862050457,1.26652551642711,1.2662711509506892
6,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994543527746609,0.30633016639828153,0.49685910847505593,0.49684433687162394,0.9962389103029916,0.8172446591519057,1.3194348783373884,1.319605792152065
7,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.999411109317926,0.30983236714975765,0.5148498731080033,0.5148999186928781,0.9958560412943976,0.8384266237251775,1.3986981291807161,1.3990978644531824
8,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994525987451983,0.30824411567364385,0.4971045167018312,0.497152793965781,0.9959524125754771,0.8544889962426206,1.3746757491377712,1.3747252102040666
9,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994556290736459,0.3082612184648415,0.49966623863510956,0.4996943487622968,0.9954479701789566,0.8536370101986043,1.4116426403123208,1.4118502506478767
10,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994697665287053,0.3031866478797632,0.49046694556995846,0.4905162480360518,0.9959755328530283,0.8928345142243702,1.357334508543763,1.357391211135956
11,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994374338840086,0.307510165056359,0.506050169353326,0.5060742341191422,0.9965453251193838,0.7960710413311857,1.2483793826833183,1.2449297537334096
12,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994756069429505,0.3098933574879224,0.48976351830317805,0.4897936406169074,0.9960985284788706,0.8401570316693511,1.313948838800422,1.314467807988399
13,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994426985035203,0.3091766438539991,0.5054865673848697,0.5055225221840683,0.9960401395822669,0.8425685721953838,1.3175962077938785,1.3181164254869442
14,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994971856556201,0.3004816760601176,0.4754742807049308,0.47552054976113006,0.9970696603612917,0.7846080246913604,1.1783235144192,1.1785567359091518
15,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994718205466813,0.3051080984970474,0.4933106969890924,0.49333713340300317,0.9961311670443584,0.8506958400429391,1.2892078891944063,1.2894783012643094
16,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.999425353720688,0.30749418276972523,0.5079569678988831,0.5080007229964112,0.9963138560144031,0.8310764090177156,1.3250701718756388,1.3256033736241308
17,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994663973941426,0.3044701288244767,0.49333824168830753,0.49336017646033403,0.9958733667359626,0.8397495974235097,1.3597887681688983,1.359916472173962
18,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994415165097553,0.30656325147611363,0.5045656613336952,0.5045824677192682,0.996287162017828,0.8052257112184656,1.2905105940851695,1.2909456362229128
19,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994713362337632,0.3084247852925391,0.4887090154870317,0.48875806625570795,0.9965277357253534,0.8268973161567372,1.271364051691789,1.270430385813988
20,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994308940886814,0.30536217793880754,0.5065193077071306,0.5065072412520557,0.9958696628497805,0.8568000536768665,1.3913743016599587,1.3887405484477695
21,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994430391879718,0.3039821591519038,0.49719265726139517,0.4971475811463829,0.9960383110730516,0.8563054750402564,1.4033285764272851,1.4029185493417942
22,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994632641602137,0.3068388955984969,0.5008251099684995,0.5008615475356428,0.9947026900444146,0.8843840311325827,1.4615475297286535,1.4608121010135808
23,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.999450778391434,0.30602245034890047,0.4992628338879653,0.49926182782453865,0.9963538039849545,0.8159224637681161,1.2911503004482665,1.2908749416403769
24,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994443248593405,0.3073579039184101,0.5011113505561396,0.5011385316447542,0.996701514471279,0.7897978529253905,1.2383977210673554,1.2378470162890112
25,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9993653677905947,0.3100828435319377,0.5322021694592916,0.5322329840092216,0.9966154722262973,0.7950869565217412,1.2832301909259773,1.2837465757079054
26,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994687945856237,0.30250524691358077,0.48960076035360167,0.48963952342744776,0.9958209348664288,0.8720990874932891,1.3976414465758435,1.3980995451673246
27,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994219834411713,0.31459826892109444,0.5093771189012641,0.5093807881361353,0.9961767223519347,0.8648220611916274,1.3485969692132864,1.3489223244130466
28,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994403757573278,0.3093336419753087,0.5035262103285509,0.5035734772850649,0.9963062664997809,0.8227836285560954,1.3040533671607535,1.2999081689639647
29,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994074121626115,0.3045870236178199,0.5169864108286415,0.51702563081762,0.9951645030596443,0.8642320182501362,1.5049803521563454,1.5038554178920267
30,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994640093007738,0.3084997249060654,0.4944404875438749,0.49448611714958096,0.9968120470914837,0.7962268384326384,1.1943168236349162,1.1946755335999548
31,RandomRowSplit,RandomForestOpt1,4968,1242,71,70,70,0.9994450395028466,0.303075174449812,0.5036964375362455,0.5037181798839784,0.99626611268641,0.8299494632313492,1.2874487275054662,1.2877173442770358
32,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994350087720181,0.30522728126677323,0.5096427785252108,0.5096873841804676,0.995669425907264,0.8057301395598481,1.3704467364582713,1.3693188945676367
33,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994100414840653,0.30911252012882423,0.5143013636598405,0.5143020545946351,0.9955597679640338,0.8513480139559858,1.4581207691099867,1.4543970332966671
34,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994504325954349,0.30591769323671403,0.4973931023583023,0.49743945473598516,0.996284350581976,0.8252330112721435,1.3222815810076853,1.322629888958286
35,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994805611747837,0.30375570987654277,0.4868312045124247,0.4868800713171635,0.9953965583145349,0.8906029522275904,1.4349940887753458,1.4297599086307387
36,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994612834807918,0.3062782071926993,0.491086561399121,0.4911178249011722,0.9964895041460873,0.8496137949543773,1.3006033641028671,1.3010638861055663
