Model,SMILES_Class,Feature,sum_importance,mean_importance,std_importance,n,sum_share,mean_share,Type,Source
GradientBoosting,Anthracenes,SMILES_RADICAL_MaxAbsPartialCharge,0.44540564863993415,0.1484685495466447,0.08387744933431365,3,0.1484685495466453,0.1484685495466453,Electronic,Radical
GradientBoosting,Anthracenes,SMILES_RADICAL_MinPartialCharge,0.24866253027569843,0.08288751009189947,0.06960657561202015,3,0.08288751009189979,0.08288751009189979,Electronic,Radical
GradientBoosting,Anthracenes,SMILES_HallKierAlpha,0.1877698210697176,0.06258994035657253,0.03247307809003918,3,0.06258994035657277,0.06258994035657278,Electronic,Molecule
GradientBoosting,Anthracenes,SMILES_MinAbsEStateIndex,0.1515123034807731,0.0505041011602577,0.0027993342458740716,3,0.05050410116025789,0.05050410116025789,Electronic,Molecule
GradientBoosting,Anthracenes,GROUP_Phenols,0.1487722262140024,0.04959074207133413,0.04064337001079327,3,0.04959074207133433,0.04959074207133433,Experimental,Molecule
GradientBoosting,Anthracenes,SMILES_RADICAL_HeavyAtomMolWt,0.1366481556171106,0.045549385205703535,0.013076826604883672,3,0.04554938520570371,0.045549385205703716,Structural,Radical
GradientBoosting,Anthracenes,SMILES_NumRotatableBonds,0.1240880887214611,0.04136269624048703,0.0008649911286836989,3,0.04136269624048719,0.04136269624048719,Structural,Molecule
GradientBoosting,Anthracenes,SITE_O22,0.11237827675505871,0.03745942558501957,0.0011092927756756474,3,0.03745942558501971,0.03745942558501972,Experimental,Site
GradientBoosting,Anthracenes,SMILES_PEOE_VSA9,0.1001404844620777,0.033380161487359235,0.002936355677681102,3,0.03338016148735936,0.03338016148735937,VSA,Molecule
GradientBoosting,Anthracenes,SMILES_EState_VSA2,0.0969163499018296,0.03230544996727653,0.016974898091240802,3,0.032305449967276655,0.032305449967276655,VSA,Molecule
GradientBoosting,Anthracenes,SMILES_RADICAL_MolWt,0.0945283066372494,0.0315094355457498,0.009751601916936753,3,0.03150943554574992,0.03150943554574993,Structural,Radical
GradientBoosting,Anthracenes,SMILES_RADICAL_MinAbsEStateIndex,0.0858277350578094,0.0286092450192698,0.006415147569186852,3,0.02860924501926991,0.02860924501926991,Electronic,Radical
GradientBoosting,Anthracenes,SITE_O25,0.0854386546445672,0.028479551548189066,0.0015457944724621261,3,0.028479551548189173,0.028479551548189177,Experimental,Site
GradientBoosting,Anthracenes,SMILES_RADICAL_Kappa3,0.07977380559093539,0.026591268530311796,0.03773788452173592,3,0.026591268530311896,0.0265912685303119,Structural,Radical
GradientBoosting,Anthracenes,SITE_C3,0.0694824759338464,0.023160825311282135,0.00041586423179353104,3,0.023160825311282225,0.023160825311282225,Experimental,Site
GradientBoosting,Anthracenes,SMILES_BalabanJ,0.0649130640944167,0.021637688031472233,0.015458551118967642,3,0.021637688031472316,0.021637688031472316,Structural,Molecule
