Analysis,Model,Train_Molecule_Count,Repeat,Train_Row_Count,Test_Row_Count,Test_Molecule_Count,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
MoleculeCountLearningCurve,RandomForestOpt1,20,1,1650,4560,51,0.9992431429754312,0.392205636363638,0.5948546605712771,0.5947153837343676,0.8659575176677258,5.0387828874268985,7.733290514236811,7.709015562712207
MoleculeCountLearningCurve,RandomForestOpt1,20,2,1560,4650,51,0.999175087104133,0.35743846153845976,0.5638330493416572,0.5624955591841702,0.8832282186449838,4.3616035412186385,7.463908932699319,6.9651849813372175
MoleculeCountLearningCurve,RandomForestOpt1,20,3,2550,3660,51,0.99956067152892,0.28466015686274443,0.4126847948207575,0.4121703867365357,0.7552852831744268,6.027288278688525,10.895933935320484,10.013145429875372
MoleculeCountLearningCurve,RandomForestOpt1,20,4,1500,4710,51,0.9989762557932509,0.3723834888888884,0.6487310572557369,0.6482895535839029,0.9121136623211245,3.9747772965322015,6.415597706538093,6.316521541955928
MoleculeCountLearningCurve,RandomForestOpt1,20,5,2430,3780,51,0.9996110486514824,0.24202661179698082,0.3798923386004197,0.3792741496423312,0.6759356432097959,7.166328571428571,12.422844538102257,11.411178754595142
MoleculeCountLearningCurve,RandomForestOpt1,20,6,1200,5010,51,0.9989689781072544,0.4189265277777764,0.632008080122251,0.6295928886083516,0.7814322654106176,6.5450797671324,10.138634648835925,9.71124476446966
MoleculeCountLearningCurve,RandomForestOpt1,20,7,1110,5100,51,0.9972266299876928,0.5798527027027013,1.0615467306040964,1.0609151658213511,0.8891212844222053,5.111664189542484,7.005849373242158,6.978219875406129
MoleculeCountLearningCurve,RandomForestOpt1,20,8,1830,4380,51,0.9993450141308813,0.33488992714025556,0.5216684789373603,0.5208786646994511,0.9001890042230102,4.316115677321157,6.793434912069417,6.665276518638344
MoleculeCountLearningCurve,RandomForestOpt1,20,9,1020,5190,51,0.9984348654257281,0.5179315032679731,0.8182168032268646,0.8165286733760667,0.8678076450872155,6.039214001284523,7.720379222102621,7.3779696304787485
MoleculeCountLearningCurve,RandomForestOpt1,20,10,2160,4050,51,0.9993336690326803,0.3510490740740723,0.5398172353893997,0.5393015367123691,0.9210127311729013,3.6045084526748985,6.030096801360768,6.010469824791538
MoleculeCountLearningCurve,RandomForestOpt1,20,11,1200,5010,51,0.9986666924139201,0.5024297222222206,0.8026293273707045,0.8018804837060346,0.8511946113278371,6.205439228210246,7.769110573843323,7.758408789886927
MoleculeCountLearningCurve,RandomForestOpt1,20,12,1650,4560,51,0.9993864331047598,0.3524176161616136,0.522837659913252,0.522276555987673,0.8531638581036225,4.696225818713452,8.192820958131906,8.193033143041268
MoleculeCountLearningCurve,RandomForestOpt1,20,13,2040,4170,51,0.9994237627188567,0.34651776143790675,0.5155596296659417,0.5149378459994548,0.9224148031910216,3.6032636610711424,5.91415044800918,5.914502487536844
MoleculeCountLearningCurve,RandomForestOpt1,20,14,2190,4020,51,0.9996024200131255,0.2618910502283113,0.39724312782445115,0.39686748865224497,0.8030884422222299,5.953933606965174,9.618022614743952,8.90578937163323
MoleculeCountLearningCurve,RandomForestOpt1,20,15,2250,3960,51,0.9993223985037716,0.3591835703703688,0.5790267784195406,0.578817022810317,0.9276559241550314,3.4213621464646446,5.566556726660356,5.542004244129154
MoleculeCountLearningCurve,RandomForestOpt1,20,16,1410,4800,51,0.998797804308426,0.4700067139479883,0.7463633883951163,0.7438199742574174,0.9135192636375558,3.7863282777777765,6.202454066506883,6.172050883632822
